Theme,Level 2,Level 3,Name,Key,Units,CDID,,,,,,,,,,,,,,,,,Link,Notes
"Business, Industry and Trade",Construction Industry,,Construction output - all new work,N,"Index, 2010 = 100",RAID12,"Business,IndustryandTrade",BusinessIndustryandTrade,ConstructionIndustry,ConstructionIndustry,,,,,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID12,/BusinessIndustryandTrade/ConstructionIndustry//timeseries/RAID12,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID12,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID12,/businessindustryandtrade/constructionindustry/timeseries/raid12,/businessindustryandtrade/constructionindustry/timeseries/raid12,/businessindustryandtrade/constructionindustry/timeseries/raid12,/businessindustryandtrade/constructionindustry/timeseries/raid12,http://www.ons.gov.uk/ons/rel/construction/output-in-the-construction-industry/june-and-q2-2014/rft-output-tables-june-2014.xls,
"Business, Industry and Trade",Construction Industry,,Construction output - all work,N,"Index, 2010 = 100",RAID13,"Business,IndustryandTrade",BusinessIndustryandTrade,ConstructionIndustry,ConstructionIndustry,,,,,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID13,/BusinessIndustryandTrade/ConstructionIndustry//timeseries/RAID13,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID13,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID13,/businessindustryandtrade/constructionindustry/timeseries/raid13,/businessindustryandtrade/constructionindustry/timeseries/raid13,/businessindustryandtrade/constructionindustry/timeseries/raid13,/businessindustryandtrade/constructionindustry/timeseries/raid13,http://www.ons.gov.uk/ons/rel/construction/output-in-the-construction-industry/june-and-q2-2014/rft-output-tables-june-2014.xls,
"Business, Industry and Trade",Construction Industry,,Construction output - repariand mainanence,N,"Index, 2010 = 100",RAID14,"Business,IndustryandTrade",BusinessIndustryandTrade,ConstructionIndustry,ConstructionIndustry,,,,,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID14,/BusinessIndustryandTrade/ConstructionIndustry//timeseries/RAID14,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID14,/BusinessIndustryandTrade/ConstructionIndustry/timeseries/RAID14,/businessindustryandtrade/constructionindustry/timeseries/raid14,/businessindustryandtrade/constructionindustry/timeseries/raid14,/businessindustryandtrade/constructionindustry/timeseries/raid14,/businessindustryandtrade/constructionindustry/timeseries/raid14,http://www.ons.gov.uk/ons/rel/construction/output-in-the-construction-industry/june-and-q2-2014/rft-output-tables-june-2014.xls,
"Business, Industry and Trade",Changes to Business,"Business Births, Deaths and Survival Rates",Business births,Y,number,RAID6,"Business,IndustryandTrade",BusinessIndustryandTrade,ChangestoBusiness,ChangestoBusiness,"BusinessBirths,DeathsandSurvivalRates",BusinessBirthsDeathsandSurvivalRates,"BusinessBirths,DeathsandSurvivalRates",BusinessBirthsDeathsandSurvivalRates,/BusinessIndustryandTrade/ChangestoBusiness/timeseries/RAID6,/BusinessIndustryandTrade/ChangestoBusiness/BusinessBirthsDeathsandSurvivalRates/timeseries/RAID6,/BusinessIndustryandTrade/ChangestoBusiness/BusinessBirthsDeathsandSurvivalRates/timeseries/RAID6,/BusinessIndustryandTrade/ChangestoBusiness/BusinessBirthsDeathsandSurvivalRates/timeseries/RAID6,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates/timeseries/raid6,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates/timeseries/raid6,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates/timeseries/raid6,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates/timeseries/raid6,http://www.ons.gov.uk/ons/rel/bus-register/business-demography/2012/rft-business-demography-2012-tables.xls,
"Business, Industry and Trade",Changes to Business,"Business Births, Deaths and Survival Rates",Business deaths,N,number,RAID7,"Business,IndustryandTrade",BusinessIndustryandTrade,ChangestoBusiness,ChangestoBusiness,"BusinessBirths,DeathsandSurvivalRates",BusinessBirthsDeathsandSurvivalRates,"BusinessBirths,DeathsandSurvivalRates",BusinessBirthsDeathsandSurvivalRates,/BusinessIndustryandTrade/ChangestoBusiness/timeseries/RAID7,/BusinessIndustryandTrade/ChangestoBusiness/BusinessBirthsDeathsandSurvivalRates/timeseries/RAID7,/BusinessIndustryandTrade/ChangestoBusiness/BusinessBirthsDeathsandSurvivalRates/timeseries/RAID7,/BusinessIndustryandTrade/ChangestoBusiness/BusinessBirthsDeathsandSurvivalRates/timeseries/RAID7,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates/timeseries/raid7,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates/timeseries/raid7,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates/timeseries/raid7,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates/timeseries/raid7,http://www.ons.gov.uk/ons/rel/bus-register/business-demography/2012/rft-business-demography-2012-tables.xls,
"Business, Industry and Trade",Changes to Business,"Business Births, Deaths and Survival Rates",Survival rate for businesses born in 2007 and 2012 ,N,%,RAID8,"Business,IndustryandTrade",BusinessIndustryandTrade,ChangestoBusiness,ChangestoBusiness,"BusinessBirths,DeathsandSurvivalRates",BusinessBirthsDeathsandSurvivalRates,"BusinessBirths,DeathsandSurvivalRates",BusinessBirthsDeathsandSurvivalRates,/BusinessIndustryandTrade/ChangestoBusiness/timeseries/RAID8,/BusinessIndustryandTrade/ChangestoBusiness/BusinessBirthsDeathsandSurvivalRates/timeseries/RAID8,/BusinessIndustryandTrade/ChangestoBusiness/BusinessBirthsDeathsandSurvivalRates/timeseries/RAID8,/BusinessIndustryandTrade/ChangestoBusiness/BusinessBirthsDeathsandSurvivalRates/timeseries/RAID8,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates/timeseries/raid8,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates/timeseries/raid8,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates/timeseries/raid8,/businessindustryandtrade/changestobusiness/businessbirthsdeathsandsurvivalrates/timeseries/raid8,http://www.ons.gov.uk/ons/rel/bus-register/business-demography/2012/rft-business-demography-2012-tables.xls,
"Business, Industry and Trade",Changes to Business,Mergers and Acquisitions,Number of acquisitions,Y,number,CBAQ,"Business,IndustryandTrade",BusinessIndustryandTrade,ChangestoBusiness,ChangestoBusiness,MergersandAcquisitions,MergersandAcquisitions,MergersandAcquisitions,MergersandAcquisitions,/BusinessIndustryandTrade/ChangestoBusiness/timeseries/CBAQ,/BusinessIndustryandTrade/ChangestoBusiness/MergersandAcquisitions/timeseries/CBAQ,/BusinessIndustryandTrade/ChangestoBusiness/MergersandAcquisitions/timeseries/CBAQ,/BusinessIndustryandTrade/ChangestoBusiness/MergersandAcquisitions/timeseries/CBAQ,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbaq,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbaq,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbaq,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbaq,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=am,
"Business, Industry and Trade",Changes to Business,Mergers and Acquisitions,Value of acquisitions,N,£ million,CBBI,"Business,IndustryandTrade",BusinessIndustryandTrade,ChangestoBusiness,ChangestoBusiness,MergersandAcquisitions,MergersandAcquisitions,MergersandAcquisitions,MergersandAcquisitions,/BusinessIndustryandTrade/ChangestoBusiness/timeseries/CBBI,/BusinessIndustryandTrade/ChangestoBusiness/MergersandAcquisitions/timeseries/CBBI,/BusinessIndustryandTrade/ChangestoBusiness/MergersandAcquisitions/timeseries/CBBI,/BusinessIndustryandTrade/ChangestoBusiness/MergersandAcquisitions/timeseries/CBBI,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbbi,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbbi,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbbi,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbbi,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=am,
"Business, Industry and Trade",Changes to Business,Mergers and Acquisitions,Number of disposals,N,number,CBAS,"Business,IndustryandTrade",BusinessIndustryandTrade,ChangestoBusiness,ChangestoBusiness,MergersandAcquisitions,MergersandAcquisitions,MergersandAcquisitions,MergersandAcquisitions,/BusinessIndustryandTrade/ChangestoBusiness/timeseries/CBAS,/BusinessIndustryandTrade/ChangestoBusiness/MergersandAcquisitions/timeseries/CBAS,/BusinessIndustryandTrade/ChangestoBusiness/MergersandAcquisitions/timeseries/CBAS,/BusinessIndustryandTrade/ChangestoBusiness/MergersandAcquisitions/timeseries/CBAS,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbas,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbas,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbas,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbas,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=am,
"Business, Industry and Trade",Changes to Business,Mergers and Acquisitions,Value of disposals,N,£ million,CBBT,"Business,IndustryandTrade",BusinessIndustryandTrade,ChangestoBusiness,ChangestoBusiness,MergersandAcquisitions,MergersandAcquisitions,MergersandAcquisitions,MergersandAcquisitions,/BusinessIndustryandTrade/ChangestoBusiness/timeseries/CBBT,/BusinessIndustryandTrade/ChangestoBusiness/MergersandAcquisitions/timeseries/CBBT,/BusinessIndustryandTrade/ChangestoBusiness/MergersandAcquisitions/timeseries/CBBT,/BusinessIndustryandTrade/ChangestoBusiness/MergersandAcquisitions/timeseries/CBBT,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbbt,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbbt,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbbt,/businessindustryandtrade/changestobusiness/mergersandacquisitions/timeseries/cbbt,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=am,
