Theme,Level 2,Level 3,Name,Key,Units,CDID,,,,,,,,,,,,,,,,,Link,Notes
Employment and Labour Market,People in Work,Workplace Disputes and Working Conditions,Working days lost in the Public Sector ,N,000's,F8XZ,EmploymentandLabourMarket,EmploymentandLabourMarket,PeopleinWork,PeopleinWork,WorkplaceDisputesandWorkingConditions,WorkplaceDisputesandWorkingConditions,WorkplaceDisputesandWorkingConditions,WorkplaceDisputesandWorkingConditions,/EmploymentandLabourMarket/PeopleinWork/timeseries/F8XZ,/EmploymentandLabourMarket/PeopleinWork/WorkplaceDisputesandWorkingConditions/timeseries/F8XZ,/EmploymentandLabourMarket/PeopleinWork/WorkplaceDisputesandWorkingConditions/timeseries/F8XZ,/EmploymentandLabourMarket/PeopleinWork/WorkplaceDisputesandWorkingConditions/timeseries/F8XZ,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions/timeseries/f8xz,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions/timeseries/f8xz,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions/timeseries/f8xz,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions/timeseries/f8xz,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,
Employment and Labour Market,People in Work,Workplace Disputes and Working Conditions,Working days lost in the Private Sector ,N,000's,F8Y2,EmploymentandLabourMarket,EmploymentandLabourMarket,PeopleinWork,PeopleinWork,WorkplaceDisputesandWorkingConditions,WorkplaceDisputesandWorkingConditions,WorkplaceDisputesandWorkingConditions,WorkplaceDisputesandWorkingConditions,/EmploymentandLabourMarket/PeopleinWork/timeseries/F8Y2,/EmploymentandLabourMarket/PeopleinWork/WorkplaceDisputesandWorkingConditions/timeseries/F8Y2,/EmploymentandLabourMarket/PeopleinWork/WorkplaceDisputesandWorkingConditions/timeseries/F8Y2,/EmploymentandLabourMarket/PeopleinWork/WorkplaceDisputesandWorkingConditions/timeseries/F8Y2,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions/timeseries/f8y2,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions/timeseries/f8y2,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions/timeseries/f8y2,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions/timeseries/f8y2,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,
Employment and Labour Market,People in Work,Workplace Disputes and Working Conditions,Number of stoppages,N,number,BLUU,EmploymentandLabourMarket,EmploymentandLabourMarket,PeopleinWork,PeopleinWork,WorkplaceDisputesandWorkingConditions,WorkplaceDisputesandWorkingConditions,WorkplaceDisputesandWorkingConditions,WorkplaceDisputesandWorkingConditions,/EmploymentandLabourMarket/PeopleinWork/timeseries/BLUU,/EmploymentandLabourMarket/PeopleinWork/WorkplaceDisputesandWorkingConditions/timeseries/BLUU,/EmploymentandLabourMarket/PeopleinWork/WorkplaceDisputesandWorkingConditions/timeseries/BLUU,/EmploymentandLabourMarket/PeopleinWork/WorkplaceDisputesandWorkingConditions/timeseries/BLUU,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions/timeseries/bluu,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions/timeseries/bluu,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions/timeseries/bluu,/employmentandlabourmarket/peopleinwork/workplacedisputesandworkingconditions/timeseries/bluu,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,
Employment and Labour Market,People not in Work,,Unemployment rate (aged 16-64),Y,%,MGSX,EmploymentandLabourMarket,EmploymentandLabourMarket,PeoplenotinWork,PeoplenotinWork,,,,,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSX,/EmploymentandLabourMarket/PeoplenotinWork//timeseries/MGSX,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSX,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSX,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsx,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsx,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsx,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsx,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,
Employment and Labour Market,People not in Work,,Unemployment 16+,N,000's,MGSC,EmploymentandLabourMarket,EmploymentandLabourMarket,PeoplenotinWork,PeoplenotinWork,,,,,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSC,/EmploymentandLabourMarket/PeoplenotinWork//timeseries/MGSC,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSC,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSC,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsc,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsc,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsc,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsc,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,
Employment and Labour Market,People not in Work,,Unemployment 16+ Female,N,000's,MGSE,EmploymentandLabourMarket,EmploymentandLabourMarket,PeoplenotinWork,PeoplenotinWork,,,,,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSE,/EmploymentandLabourMarket/PeoplenotinWork//timeseries/MGSE,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSE,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSE,/employmentandlabourmarket/peoplenotinwork/timeseries/mgse,/employmentandlabourmarket/peoplenotinwork/timeseries/mgse,/employmentandlabourmarket/peoplenotinwork/timeseries/mgse,/employmentandlabourmarket/peoplenotinwork/timeseries/mgse,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,
Employment and Labour Market,People not in Work,,Unemployment 16+ Male,N,000's,MGSD,EmploymentandLabourMarket,EmploymentandLabourMarket,PeoplenotinWork,PeoplenotinWork,,,,,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSD,/EmploymentandLabourMarket/PeoplenotinWork//timeseries/MGSD,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSD,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSD,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsd,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsd,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsd,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsd,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,
Employment and Labour Market,People not in Work,,Unemployment Rate (aged 16-64) Female,N,%,MDSZ,EmploymentandLabourMarket,EmploymentandLabourMarket,PeoplenotinWork,PeoplenotinWork,,,,,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MDSZ,/EmploymentandLabourMarket/PeoplenotinWork//timeseries/MDSZ,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MDSZ,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MDSZ,/employmentandlabourmarket/peoplenotinwork/timeseries/mdsz,/employmentandlabourmarket/peoplenotinwork/timeseries/mdsz,/employmentandlabourmarket/peoplenotinwork/timeseries/mdsz,/employmentandlabourmarket/peoplenotinwork/timeseries/mdsz,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,
Employment and Labour Market,People not in Work,,Unemployment Rate (aged 16-64) Male,N,%,MGSY,EmploymentandLabourMarket,EmploymentandLabourMarket,PeoplenotinWork,PeoplenotinWork,,,,,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSY,/EmploymentandLabourMarket/PeoplenotinWork//timeseries/MGSY,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSY,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/MGSY,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsy,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsy,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsy,/employmentandlabourmarket/peoplenotinwork/timeseries/mgsy,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,
Employment and Labour Market,People not in Work,,Total Claimant Count,N,000's,BCJD,EmploymentandLabourMarket,EmploymentandLabourMarket,PeoplenotinWork,PeoplenotinWork,,,,,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/BCJD,/EmploymentandLabourMarket/PeoplenotinWork//timeseries/BCJD,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/BCJD,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/BCJD,/employmentandlabourmarket/peoplenotinwork/timeseries/bcjd,/employmentandlabourmarket/peoplenotinwork/timeseries/bcjd,/employmentandlabourmarket/peoplenotinwork/timeseries/bcjd,/employmentandlabourmarket/peoplenotinwork/timeseries/bcjd,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,
Employment and Labour Market,People not in Work,,Total Claimant Count Female,N,000's,DPAF,EmploymentandLabourMarket,EmploymentandLabourMarket,PeoplenotinWork,PeoplenotinWork,,,,,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/DPAF,/EmploymentandLabourMarket/PeoplenotinWork//timeseries/DPAF,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/DPAF,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/DPAF,/employmentandlabourmarket/peoplenotinwork/timeseries/dpaf,/employmentandlabourmarket/peoplenotinwork/timeseries/dpaf,/employmentandlabourmarket/peoplenotinwork/timeseries/dpaf,/employmentandlabourmarket/peoplenotinwork/timeseries/dpaf,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,
Employment and Labour Market,People not in Work,,Total Claimant Count Male,N,000's,DPAE,EmploymentandLabourMarket,EmploymentandLabourMarket,PeoplenotinWork,PeoplenotinWork,,,,,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/DPAE,/EmploymentandLabourMarket/PeoplenotinWork//timeseries/DPAE,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/DPAE,/EmploymentandLabourMarket/PeoplenotinWork/timeseries/DPAE,/employmentandlabourmarket/peoplenotinwork/timeseries/dpae,/employmentandlabourmarket/peoplenotinwork/timeseries/dpae,/employmentandlabourmarket/peoplenotinwork/timeseries/dpae,/employmentandlabourmarket/peoplenotinwork/timeseries/dpae,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=lms,
Employment and Labour Market,Public Sector Personnel,,Total public sector employees: Head count,Y,000's,G7AU,EmploymentandLabourMarket,EmploymentandLabourMarket,PublicSectorPersonnel,PublicSectorPersonnel,,,,,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G7AU,/EmploymentandLabourMarket/PublicSectorPersonnel//timeseries/G7AU,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G7AU,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G7AU,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7au,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7au,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7au,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7au,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pse,
Employment and Labour Market,Public Sector Personnel,,Total public sector employees: Full time equivalent,N,000's,G7G3,EmploymentandLabourMarket,EmploymentandLabourMarket,PublicSectorPersonnel,PublicSectorPersonnel,,,,,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G7G3,/EmploymentandLabourMarket/PublicSectorPersonnel//timeseries/G7G3,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G7G3,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G7G3,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7g3,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7g3,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7g3,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7g3,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pse,
Employment and Labour Market,Public Sector Personnel,,Central government: Head count,N,000's,G6NQ,EmploymentandLabourMarket,EmploymentandLabourMarket,PublicSectorPersonnel,PublicSectorPersonnel,,,,,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G6NQ,/EmploymentandLabourMarket/PublicSectorPersonnel//timeseries/G6NQ,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G6NQ,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G6NQ,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g6nq,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g6nq,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g6nq,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g6nq,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pse,
Employment and Labour Market,Public Sector Personnel,,Central government: Full time equivalent,N,000's,G7FP,EmploymentandLabourMarket,EmploymentandLabourMarket,PublicSectorPersonnel,PublicSectorPersonnel,,,,,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G7FP,/EmploymentandLabourMarket/PublicSectorPersonnel//timeseries/G7FP,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G7FP,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G7FP,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7fp,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7fp,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7fp,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7fp,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pse,
Employment and Labour Market,Public Sector Personnel,,Local government: Head count,N,000's,G6NT,EmploymentandLabourMarket,EmploymentandLabourMarket,PublicSectorPersonnel,PublicSectorPersonnel,,,,,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G6NT,/EmploymentandLabourMarket/PublicSectorPersonnel//timeseries/G6NT,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G6NT,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G6NT,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g6nt,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g6nt,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g6nt,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g6nt,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pse,
Employment and Labour Market,Public Sector Personnel,,Local government: Full time equivalent,N,000's,G7FS,EmploymentandLabourMarket,EmploymentandLabourMarket,PublicSectorPersonnel,PublicSectorPersonnel,,,,,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G7FS,/EmploymentandLabourMarket/PublicSectorPersonnel//timeseries/G7FS,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G7FS,/EmploymentandLabourMarket/PublicSectorPersonnel/timeseries/G7FS,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7fs,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7fs,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7fs,/employmentandlabourmarket/publicsectorpersonnel/timeseries/g7fs,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=pse,
,,,,,,,,,,,,,,,///timeseries/,////timeseries/,,,,,,,,
"People, Population and Community",Population and Migration,Population Estimates,UK population ,Y,million,RAID121,"People,PopulationandCommunity",PeoplePopulationandCommunity,PopulationandMigration,PopulationandMigration,PopulationEstimates,PopulationEstimates,PopulationEstimates,PopulationEstimates,/PeoplePopulationandCommunity/PopulationandMigration/timeseries/RAID121,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID121,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID121,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID121,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid121,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid121,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid121,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid121,http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-uk--england-and-wales--scotland-and-northern-ireland/2013/rft---mid-2013-uk-population-estimates.zip,
"People, Population and Community",Population and Migration,Population Estimates,England and Wales population,N,million,RAID123,"People,PopulationandCommunity",PeoplePopulationandCommunity,PopulationandMigration,PopulationandMigration,PopulationEstimates,PopulationEstimates,PopulationEstimates,PopulationEstimates,/PeoplePopulationandCommunity/PopulationandMigration/timeseries/RAID123,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID123,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID123,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID123,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid123,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid123,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid123,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid123,http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-uk--england-and-wales--scotland-and-northern-ireland/2013/rft---mid-2013-uk-population-estimates.zip,
"People, Population and Community",Population and Migration,Population Estimates,England population,N,million,RAID124,"People,PopulationandCommunity",PeoplePopulationandCommunity,PopulationandMigration,PopulationandMigration,PopulationEstimates,PopulationEstimates,PopulationEstimates,PopulationEstimates,/PeoplePopulationandCommunity/PopulationandMigration/timeseries/RAID124,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID124,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID124,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID124,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid124,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid124,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid124,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid124,http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-uk--england-and-wales--scotland-and-northern-ireland/2013/rft---mid-2013-uk-population-estimates.zip,
"People, Population and Community",Population and Migration,Population Estimates,Scotland population,N,million,RAID125,"People,PopulationandCommunity",PeoplePopulationandCommunity,PopulationandMigration,PopulationandMigration,PopulationEstimates,PopulationEstimates,PopulationEstimates,PopulationEstimates,/PeoplePopulationandCommunity/PopulationandMigration/timeseries/RAID125,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID125,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID125,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID125,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid125,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid125,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid125,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid125,http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-uk--england-and-wales--scotland-and-northern-ireland/2013/rft---mid-2013-uk-population-estimates.zip,
"People, Population and Community",Population and Migration,Population Estimates,Wales population,N,million,RAID126,"People,PopulationandCommunity",PeoplePopulationandCommunity,PopulationandMigration,PopulationandMigration,PopulationEstimates,PopulationEstimates,PopulationEstimates,PopulationEstimates,/PeoplePopulationandCommunity/PopulationandMigration/timeseries/RAID126,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID126,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID126,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID126,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid126,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid126,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid126,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid126,http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-uk--england-and-wales--scotland-and-northern-ireland/2013/rft---mid-2013-uk-population-estimates.zip,
"People, Population and Community",Population and Migration,Population Estimates,Northern Ireland population,N,million,RAID127,"People,PopulationandCommunity",PeoplePopulationandCommunity,PopulationandMigration,PopulationandMigration,PopulationEstimates,PopulationEstimates,PopulationEstimates,PopulationEstimates,/PeoplePopulationandCommunity/PopulationandMigration/timeseries/RAID127,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID127,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID127,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID127,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid127,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid127,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid127,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid127,http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-uk--england-and-wales--scotland-and-northern-ireland/2013/rft---mid-2013-uk-population-estimates.zip,
"People, Population and Community",Population and Migration,Population Estimates,Males in the UK,N,million,RAID128,"People,PopulationandCommunity",PeoplePopulationandCommunity,PopulationandMigration,PopulationandMigration,PopulationEstimates,PopulationEstimates,PopulationEstimates,PopulationEstimates,/PeoplePopulationandCommunity/PopulationandMigration/timeseries/RAID128,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID128,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID128,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID128,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid128,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid128,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid128,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid128,http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-uk--england-and-wales--scotland-and-northern-ireland/2013/rft---mid-2013-uk-population-estimates.zip,
"People, Population and Community",Population and Migration,Population Estimates,Females in the UK,N,million,RAID129,"People,PopulationandCommunity",PeoplePopulationandCommunity,PopulationandMigration,PopulationandMigration,PopulationEstimates,PopulationEstimates,PopulationEstimates,PopulationEstimates,/PeoplePopulationandCommunity/PopulationandMigration/timeseries/RAID129,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID129,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID129,/PeoplePopulationandCommunity/PopulationandMigration/PopulationEstimates/timeseries/RAID129,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid129,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid129,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid129,/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/raid129,http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-uk--england-and-wales--scotland-and-northern-ireland/2013/rft---mid-2013-uk-population-estimates.zip,
"People, Population and Community",Population and Migration,International Migration,Net long-term migration to the UK,Y,number,RAID117,"People,PopulationandCommunity",PeoplePopulationandCommunity,PopulationandMigration,PopulationandMigration,InternationalMigration,InternationalMigration,InternationalMigration,InternationalMigration,/PeoplePopulationandCommunity/PopulationandMigration/timeseries/RAID117,/PeoplePopulationandCommunity/PopulationandMigration/InternationalMigration/timeseries/RAID117,/PeoplePopulationandCommunity/PopulationandMigration/InternationalMigration/timeseries/RAID117,/PeoplePopulationandCommunity/PopulationandMigration/InternationalMigration/timeseries/RAID117,/peoplepopulationandcommunity/populationandmigration/internationalmigration/timeseries/raid117,/peoplepopulationandcommunity/populationandmigration/internationalmigration/timeseries/raid117,/peoplepopulationandcommunity/populationandmigration/internationalmigration/timeseries/raid117,/peoplepopulationandcommunity/populationandmigration/internationalmigration/timeseries/raid117,http://www.ons.gov.uk/ons/rel/migration1/migration-statistics-quarterly-report/may-2014/provisional-13q4.xls,
"People, Population and Community",Population and Migration,International Migration,Immigration to the UK,N,number,RAID118,"People,PopulationandCommunity",PeoplePopulationandCommunity,PopulationandMigration,PopulationandMigration,InternationalMigration,InternationalMigration,InternationalMigration,InternationalMigration,/PeoplePopulationandCommunity/PopulationandMigration/timeseries/RAID118,/PeoplePopulationandCommunity/PopulationandMigration/InternationalMigration/timeseries/RAID118,/PeoplePopulationandCommunity/PopulationandMigration/InternationalMigration/timeseries/RAID118,/PeoplePopulationandCommunity/PopulationandMigration/InternationalMigration/timeseries/RAID118,/peoplepopulationandcommunity/populationandmigration/internationalmigration/timeseries/raid118,/peoplepopulationandcommunity/populationandmigration/internationalmigration/timeseries/raid118,/peoplepopulationandcommunity/populationandmigration/internationalmigration/timeseries/raid118,/peoplepopulationandcommunity/populationandmigration/internationalmigration/timeseries/raid118,http://www.ons.gov.uk/ons/rel/migration1/migration-statistics-quarterly-report/may-2014/provisional-13q4.xls,
"People, Population and Community",Population and Migration,International Migration,Emigration from the UK,N,number,RAID119,"People,PopulationandCommunity",PeoplePopulationandCommunity,PopulationandMigration,PopulationandMigration,InternationalMigration,InternationalMigration,InternationalMigration,InternationalMigration,/PeoplePopulationandCommunity/PopulationandMigration/timeseries/RAID119,/PeoplePopulationandCommunity/PopulationandMigration/InternationalMigration/timeseries/RAID119,/PeoplePopulationandCommunity/PopulationandMigration/InternationalMigration/timeseries/RAID119,/PeoplePopulationandCommunity/PopulationandMigration/InternationalMigration/timeseries/RAID119,/peoplepopulationandcommunity/populationandmigration/internationalmigration/timeseries/raid119,/peoplepopulationandcommunity/populationandmigration/internationalmigration/timeseries/raid119,/peoplepopulationandcommunity/populationandmigration/internationalmigration/timeseries/raid119,/peoplepopulationandcommunity/populationandmigration/internationalmigration/timeseries/raid119,http://www.ons.gov.uk/ons/rel/migration1/migration-statistics-quarterly-report/may-2014/provisional-13q4.xls,
"People, Population and Community",Population and Migration,Population Projections,Mid-2037 UK population projected to reach,Y,million,RAID130,"People,PopulationandCommunity",PeoplePopulationandCommunity,PopulationandMigration,PopulationandMigration,PopulationProjections,PopulationProjections,PopulationProjections,PopulationProjections,/PeoplePopulationandCommunity/PopulationandMigration/timeseries/RAID130,/PeoplePopulationandCommunity/PopulationandMigration/PopulationProjections/timeseries/RAID130,/PeoplePopulationandCommunity/PopulationandMigration/PopulationProjections/timeseries/RAID130,/PeoplePopulationandCommunity/PopulationandMigration/PopulationProjections/timeseries/RAID130,/peoplepopulationandcommunity/populationandmigration/populationprojections/timeseries/raid130,/peoplepopulationandcommunity/populationandmigration/populationprojections/timeseries/raid130,/peoplepopulationandcommunity/populationandmigration/populationprojections/timeseries/raid130,/peoplepopulationandcommunity/populationandmigration/populationprojections/timeseries/raid130,http://www.ons.gov.uk/ons/rel/npp/national-population-projections/2012-based-projections/rft-table-a1-1-principal-projection---uk-summary.xls,
