,GMAA,GMAF,GMAK,GMAM,GMAT,GMAX,GMAZ,GMBB
"1992 Q4",4103,6698,1780,2277,4649,8115,2026,2851
"1993 Q1",3611,6614,1658,2198,4915,9282,2324,3083
"1993 Q2",5222,9421,2193,3211,5022,8853,2273,3264
"1993 Q3",6700,12887,3516,4866,5018,9306,2504,3311
"1993 Q4",4333,7800,2120,2697,4912,9280,2386,3315
"1994 Q1",3840,6771,1688,2553,5096,9224,2521,3443
"1994 Q2",5269,10441,2343,3514,5075,9912,2380,3486
"1994 Q3",6891,13895,3649,5352,5208,10380,2510,3776
"1994 Q4",4794,8523,2105,2945,5348,9615,2374,3544
"1995 Q1",4217,7186,2030,2654,5594,9925,2866,3550
"1995 Q2",5952,10993,2767,3947,5724,10411,2798,3914
"1995 Q3",7747,14027,4162,5553,6002,10472,3027,3948
"1995 Q4",5622,9140,2803,3234,6202,10321,3073,3831
"1996 Q1",4719,7532,2175,3064,6117,10126,3015,4047
"1996 Q2",6680,10742,3021,3961,6432,10210,3039,3919
"1996 Q3",8130,13890,4226,5681,6450,10442,3103,4052
"1996 Q4",5631,9889,2869,3517,6218,11255,3136,4218
"1997 Q1",4940,8154,2165,3128,6325,11081,3012,4156
"1997 Q2",6446,11888,2979,4265,6219,11282,2979,4180
"1997 Q3",8168,15181,4229,5899,6468,11404,3124,4217
"1997 Q4",5961,10734,2870,3637,6563,12418,3134,4422
"1998 Q1",4804,9179,2250,3646,6250,12481,3099,4827
"1998 Q2",6834,13242,3200,4885,6490,12502,3181,4786
"1998 Q3",8028,16975,4212,6618,6366,12783,3127,4789
"1998 Q4",6080,11477,3009,4341,6687,13287,3271,5251
"1999 Q1",5046,9879,2413,4109,6409,13328,3262,5421
"1999 Q2",6800,14574,3064,5578,6466,13733,3029,5435
"1999 Q3",7912,17739,4148,7571,6304,13413,3079,5487
"1999 Q4",5636,11690,2874,4762,6248,13338,3133,5673
"2000 Q1",4993,10142,2315,4338,6342,13563,3156,5617
"2000 Q2",6733,14794,3297,6146,6371,13911,3264,5972
"2000 Q3",7943,19236,4284,8503,6294,14482,3224,6209
"2000 Q4",5538,12665,2910,5263,6159,14620,3162,6342
"2001 Q1",4862,10842,2406,4888,6231,14590,3244,6375
"2001 Q2",6279,15662,2815,6574,5946,14647,2790,6389
"2001 Q3",7098,19652,3819,8921,5563,14762,2762,6444
"2001 Q4",4593,12125,2265,4949,5099,14210,2503,6043
"2002 Q1",4558,11010,2025,5046,5705,14635,2862,6458
"2002 Q2",6509,15642,2885,6945,6262,14740,2873,6735
"2002 Q3",7619,19697,4002,9254,6172,14795,2942,6770
"2002 Q4",5706,13149,2825,5717,6208,15359,3045,6944
"2003 Q1",4926,11526,2151,5446,6115,15400,3004,6973
"2003 Q2",6085,16214,2745,7087,5804,15154,2745,6901
"2003 Q3",7716,20399,4041,10018,6278,15297,2967,7317
"2003 Q4",6147,13195,2919,5999,6639,15580,3120,7417
"2004 Q1",5451,11770,2229,5730,6689,15490,3104,7195
"2004 Q2",7015,16967,3232,7602,6716,15856,3246,7415
"2004 Q3",8412,21233,4390,10437,6979,16146,3289,7636
"2004 Q4",6748,14204,3196,6516,7219,16560,3383,7953
"2005 Q1",6171,12821,2643,6412,7407,16701,3559,8094
"2005 Q2",7868,17417,3562,8110,7621,16499,3581,7966
"2005 Q3",8858,21767,4474,10911,7387,16536,3342,8003
"2005 Q4",7073,14437,3568,6722,7564,16755,3745,8233
"2006 Q1",6351,13130,2757,6665,7709,17269,3710,8347
"2006 Q2",8476,18738,3970,8765,8129,17648,3991,8618
"2006 Q3",10296,22378,5401,11543,8724,16916,4232,8446
"2006 Q4",7592,15289,3873,7438,8123,17875,4046,9089
"2007 Q1",6737,13495,3000,6908,8119,17766,3998,8758
"2007 Q2",8511,17976,3859,8834,8145,16932,3879,8716
"2007 Q3",9564,23000,5234,12097,8069,17223,4027,8705
"2007 Q4",7966,14978,3866,7174,8463,17740,4035,8905
"2008 Q1",7195,14362,3130,7797,8589,18697,4168,9755
"2008 Q2",8406,18548,4232,9312,8059,17626,4259,9195
"2008 Q3",9358,22467,5195,12758,7986,16718,3944,9135
"2008 Q4",6929,13631,3769,6970,7332,16313,3932,8795
"2009 Q1",6213,11286,3221,6763,7558,15067,4317,8602
"2009 Q2",7943,15961,4097,8020,7503,14990,4118,7956
"2009 Q3",8779,19775,5418,10944,7421,14696,4118,7842
"2009 Q4",6951,11592,3855,5968,7380,13931,4019,7494
"2010 Q1",5904,10162,2931,6113,7239,13520,4083,7906
"2010 Q2",7755,14612,4180,8146,7275,13682,4380,8025
"2010 Q3",8985,19546,5382,11450,7687,14460,4014,8052
"2010 Q4",7160,11242,4221,6110,7609,13315,4404,7606
"2011 Q1",6113,10335,3144,5931,7543,14065,4356,7786
"2011 Q2",8308,15612,4492,8159,7722,14514,4500,8014
"2011 Q3",9172,19262,5966,11245,7844,14145,4520,7878
"2011 Q4",7205,11628,4396,6365,7651,14111,4609,8065
"2012 Q1",6249,10259,3212,5908,7669,13850,4467,7768
"2012 Q2",8457,15521,4661,8599,7824,14260,4674,8400
"2012 Q3",8786,19219,6475,11760,7565,14027,4951,8149
"2012 Q4",7593,11538,4292,6183,8065,14208,4541,7845
"2013 Q1",6332,10193,3591,6020,7807,13969,4866,8159
"2013 Q2",8869,15927,5294,9311,8275,14698,5231,8695
"2013 Q3",9781,20353,7190,12631,8227,14679,5483,8715
"2013 Q4",7830,12036,4936,6938,8231,14090,5262,8376
"2014 Q1",6992,10917,4265,5546,8570,14263,5533,7498
"2014 Q2",9326,16066,4994,7127,8638,14661,5012,6945
"1980 JAN",739,823,188,117,,,,
"1980 FEB",602,780,140,116,,,,
"1980 MAR",740,1058,188,166,,,,
"1980 APR",1028,1397,209,180,,,,
"1980 MAY",1088,1438,234,202,,,,
"1980 JUN",1124,1821,272,290,,,,
"1980 JUL",1699,1950,400,298,,,,
"1980 AUG",1839,2777,408,441,,,,
"1980 SEP",1200,2258,314,388,,,,
"1980 OCT",963,1509,236,260,,,,
"1980 NOV",755,1004,188,175,,,,
"1980 DEC",642,690,184,105,,,,
"1981 JAN",695,833,173,137,,,,
"1981 FEB",540,818,126,142,,,,
"1981 MAR",685,1067,165,176,,,,
"1981 APR",962,1521,185,231,,,,
"1981 MAY",1007,1559,224,240,,,,
"1981 JUN",1039,1828,268,316,,,,
"1981 JUL",1430,2177,375,363,,,,
"1981 AUG",1650,3143,429,537,,,,
"1981 SEP",1181,2547,348,487,,,,
"1981 OCT",954,1812,285,324,,,,
"1981 NOV",689,1006,214,185,,,,
"1981 DEC",619,737,178,133,,,,
"1982 JAN",789,962,212,169,,,,
"1982 FEB",578,872,145,157,,,,
"1982 MAR",646,1106,158,206,,,,
"1982 APR",1071,1671,237,244,,,,
"1982 MAY",1034,1524,275,243,,,,
"1982 JUN",1069,2261,281,393,,,,
"1982 JUL",1471,2247,356,405,,,,
"1982 AUG",1629,3268,467,579,,,,
"1982 SEP",1155,2741,366,525,,,,
"1982 OCT",943,2018,277,373,,,,
"1982 NOV",661,1087,200,198,,,,
"1982 DEC",592,854,212,148,,,,
"1983 JAN",723,947,248,201,,,,
"1983 FEB",550,875,178,177,,,,
"1983 MAR",740,1156,227,222,,,,
"1983 APR",1023,1616,276,275,,,,
"1983 MAY",988,1646,304,290,,,,
"1983 JUN",1189,2142,362,402,,,,
"1983 JUL",1697,2677,488,534,,,,
"1983 AUG",1748,3187,539,614,,,,
"1983 SEP",1269,2711,469,578,,,,
"1983 OCT",1051,2027,385,419,,,,
"1983 NOV",796,1098,277,203,,,,
"1983 DEC",690,912,249,173,,,,
"1984 JAN",745,1035,262,229,,,,
"1984 FEB",580,885,217,192,,,,
"1984 MAR",828,1336,248,294,,,,
"1984 APR",1170,1717,335,310,,,,
"1984 MAY",1096,1828,321,365,,,,
"1984 JUN",1316,2436,418,509,,,,
"1984 JUL",1763,2480,573,537,,,,
"1984 AUG",2011,3150,632,655,,,,
"1984 SEP",1406,2968,547,643,,,,
"1984 OCT",1093,2054,449,444,,,,
"1984 NOV",882,1235,329,259,,,,
"1984 DEC",752,950,282,229,,,,
"1985 JAN",817,1043,322,276,,,,
"1985 FEB",652,872,244,245,,,,
"1985 MAR",867,1365,334,324,,,,
"1985 APR",1208,1644,375,323,,,,
"1985 MAY",1282,1651,459,349,,,,
"1985 JUN",1468,2288,497,480,,,,
"1985 JUL",1819,2277,615,530,,,,
"1985 AUG",2139,3150,838,676,,,,
"1985 SEP",1447,2830,611,670,,,,
"1985 OCT",1140,2050,465,476,,,,
"1985 NOV",802,1424,363,281,,,,
"1985 DEC",809,1014,319,240,,,,
"1986 JAN",926,1129,341,259,1144,1878,440,420
"1986 FEB",732,1004,271,237,1195,1743,480,410
"1986 MAR",921,1572,325,400,1139,2014,440,510
"1986 APR",1028,1607,372,367,1116,1944,460,480
"1986 MAY",1125,2116,433,497,1143,2207,460,510
"1986 JUN",1167,2620,473,593,1090,2065,430,510
"1986 JUL",1680,2865,645,696,1143,2135,450,530
"1986 AUG",2048,3740,793,969,1253,2179,460,540
"1986 SEP",1337,3318,657,878,1161,2195,510,540
"1986 OCT",1195,2457,461,581,1194,2184,420,490
"1986 NOV",910,1465,426,373,1190,2210,540,610
"1986 DEC",828,1055,357,232,1130,2193,460,530
"1987 JAN",1038,1305,412,358,1282,2137,530,560
"1987 FEB",678,1292,266,318,1130,2225,480,540
"1987 MAR",925,1644,337,410,1261,2202,490,560
"1987 APR",1315,2074,415,480,1295,2330,490,590
"1987 MAY",1305,2391,476,604,1361,2370,520,630
"1987 JUN",1427,2849,606,713,1328,2307,570,620
"1987 JUL",1883,3148,745,844,1323,2282,530,640
"1987 AUG",2228,4041,925,1134,1384,2361,550,640
"1987 SEP",1507,3462,700,1013,1328,2299,550,630
"1987 OCT",1348,2540,585,755,1330,2265,530,620
"1987 NOV",948,1603,397,371,1252,2363,520,610
"1987 DEC",963,1098,395,280,1289,2306,500,640
"1988 JAN",1021,1406,401,417,1286,2145,520,640
"1988 FEB",792,1384,284,417,1265,2261,500,670
"1988 MAR",964,1679,362,514,1227,2264,520,680
"1988 APR",1324,2080,451,548,1386,2371,530,670
"1988 MAY",1191,2133,445,583,1223,2297,490,650
"1988 JUN",1498,3130,567,839,1394,2438,520,690
"1988 JUL",1930,3326,735,924,1338,2490,500,680
"1988 AUG",2084,3967,846,1179,1294,2370,520,670
"1988 SEP",1535,3729,649,1109,1349,2518,500,690
"1988 OCT",1366,3077,606,896,1342,2655,550,720
"1988 NOV",1073,1695,404,452,1361,2515,520,720
"1988 DEC",1021,1224,435,337,1333,2506,530,720
"1989 JAN",1132,1724,410,484,1420,2630,540,730
"1989 FEB",869,1627,303,524,1413,2721,550,870
"1989 MAR",1336,2055,470,575,1636,2594,630,730
"1989 APR",1302,2211,456,622,1388,2468,550,750
"1989 MAY",1388,2478,506,664,1402,2592,550,740
"1989 JUN",1575,3263,605,926,1440,2570,560,760
"1989 JUL",2071,3353,873,1028,1424,2516,600,750
"1989 AUG",2257,4392,909,1361,1401,2654,550,780
"1989 SEP",1633,3878,755,1304,1415,2616,580,800
"1989 OCT",1448,3006,635,937,1441,2550,590,770
"1989 NOV",1183,1647,469,505,1469,2378,590,790
"1989 DEC",1145,1398,554,427,1490,2744,660,890
"1990 JAN",1184,1808,486,580,1505,2699,650,797
"1990 FEB",968,1532,398,483,1573,2597,710,787
"1990 MAR",1171,1925,482,625,1547,2324,650,803
"1990 APR",1411,2535,536,695,1383,2590,620,782
"1990 MAY",1482,2468,616,729,1470,2552,640,816
"1990 JUN",1644,3216,702,1099,1507,2709,650,964
"1990 JUL",2206,3392,940,1090,1551,2701,650,841
"1990 AUG",2309,4285,1018,1393,1478,2689,630,829
"1990 SEP",1791,3799,858,1261,1577,2719,640,842
"1990 OCT",1524,3091,670,988,1535,2718,640,826
"1990 NOV",1204,1884,526,525,1479,2634,650,803
"1990 DEC",1123,1215,516,416,1412,2218,610,795
"1991 JAN",1015,1695,418,516,1312,2549,560,716
"1991 FEB",786,1429,289,454,1260,2389,520,742
"1991 MAR",1035,2024,439,629,1259,2450,570,812
"1991 APR",1321,2703,492,755,1395,2746,590,856
"1991 MAY",1474,2317,604,706,1481,2384,620,795
"1991 JUN",1502,2896,646,951,1421,2435,620,837
"1991 JUL",2007,3323,865,1099,1438,2635,610,855
"1991 AUG",2281,4301,1013,1444,1462,2688,620,862
"1991 SEP",1724,3734,812,1316,1548,2696,630,884
"1991 OCT",1484,3072,665,1066,1506,2662,640,891
"1991 NOV",1299,1929,611,585,1563,2682,760,890
"1991 DEC",1197,1386,532,430,1481,2493,650,812
"1992 JAN",1200,1879,507,669,1590,2821,683,919
"1992 FEB",966,1800,377,598,1525,2816,676,925
"1992 MAR",1179,2391,496,714,1521,2886,654,905
"1992 APR",1648,2912,604,835,1665,2977,710,933
"1992 MAY",1594,2993,657,912,1534,3026,677,1005
"1992 JUN",1655,3098,667,1031,1533,2599,625,888
"1992 JUL",2037,3645,908,1210,1458,2896,585,935
"1992 AUG",2430,4479,1063,1581,1559,2835,630,934
"1992 SEP",1721,3937,833,1416,1499,2861,626,947
"1992 OCT",1483,3146,656,1120,1494,2683,645,931
"1992 NOV",1235,2075,536,652,1463,2875,677,980
"1992 DEC",1385,1477,588,505,1691,2556,704,940
"1993 JAN",1164,2047,544,741,1561,3029,732,1020
"1993 FEB",1153,1995,496,675,1739,3171,813,1077
"1993 MAR",1294,2572,618,782,1615,3082,779,985
"1993 APR",1724,2761,682,956,1725,2817,792,1074
"1993 MAY",1801,2968,745,996,1734,2953,765,1100
"1993 JUN",1697,3692,766,1259,1563,3083,716,1090
"1993 JUL",2290,3845,1172,1389,1676,3123,834,1094
"1993 AUG",2615,4826,1300,1868,1752,3087,841,1121
"1993 SEP",1795,4216,1044,1609,1589,3095,829,1095
"1993 OCT",1582,3793,816,1385,1595,3214,812,1164
"1993 NOV",1410,2240,652,735,1670,3084,804,1096
"1993 DEC",1341,1767,652,577,1647,2982,770,1054
"1994 JAN",1214,2036,569,815,1639,2974,848,1096
"1994 FEB",1058,2117,468,798,1707,3134,845,1230
"1994 MAR",1568,2618,651,940,1750,3116,828,1117
"1994 APR",1668,2993,668,1007,1676,3174,798,1117
"1994 MAY",1725,3330,817,1094,1664,3315,846,1158
"1994 JUN",1876,4118,858,1413,1735,3423,736,1211
"1994 JUL",2338,4161,1166,1552,1668,3353,781,1233
"1994 AUG",2555,5114,1413,2038,1737,3460,896,1322
"1994 SEP",1998,4620,1070,1762,1803,3567,833,1221
"1994 OCT",1800,4037,822,1411,1778,3330,807,1189
"1994 NOV",1532,2387,552,805,1813,3140,739,1146
"1994 DEC",1462,2099,731,729,1757,3145,828,1209
"1995 JAN",1482,2267,715,912,1921,3326,993,1211
"1995 FEB",1167,2207,536,753,1852,3279,915,1159
"1995 MAR",1568,2712,779,989,1821,3320,958,1180
"1995 APR",2073,3359,874,1137,2052,3475,1002,1233
"1995 MAY",1925,3486,919,1256,1848,3460,945,1375
"1995 JUN",1954,4148,974,1554,1824,3476,851,1306
"1995 JUL",2624,4356,1396,1629,1934,3526,1009,1315
"1995 AUG",2897,5055,1531,2024,2023,3438,1018,1304
"1995 SEP",2226,4616,1235,1900,2045,3508,1000,1329
"1995 OCT",2077,4242,1012,1563,2051,3489,999,1304
"1995 NOV",1842,2536,836,905,2160,3359,1021,1284
"1995 DEC",1703,2362,955,766,1991,3473,1053,1243
"1996 JAN",1526,2253,690,952,1961,3302,966,1311
"1996 FEB",1366,2314,657,915,2067,3334,1039,1354
"1996 MAR",1827,2965,828,1197,2089,3490,1010,1382
"1996 APR",2118,3325,869,1242,2098,3526,990,1368
"1996 MAY",2239,3299,989,1197,2149,3289,1015,1287
"1996 JUN",2323,4118,1163,1522,2185,3395,1034,1264
"1996 JUL",2826,4143,1403,1591,2183,3447,1013,1328
"1996 AUG",2990,5178,1552,2128,2112,3511,1045,1375
"1996 SEP",2314,4569,1271,1962,2155,3484,1045,1349
"1996 OCT",2123,4405,1099,1653,2102,3724,1086,1425
"1996 NOV",1653,2975,839,987,1959,3811,1020,1370
"1996 DEC",1855,2509,931,877,2157,3720,1030,1423
"1997 JAN",1664,2541,754,990,2124,3799,1026,1345
"1997 FEB",1377,2582,593,880,2072,3760,980,1344
"1997 MAR",1899,3031,818,1258,2129,3522,1006,1467
"1997 APR",2021,3359,864,1240,2044,3624,977,1369
"1997 MAY",2195,3910,961,1312,2077,3747,983,1341
"1997 JUN",2230,4619,1154,1713,2098,3911,1019,1470
"1997 JUL",3000,4580,1436,1683,2310,3822,1040,1398
"1997 AUG",2939,5736,1532,2220,2071,3849,1037,1417
"1997 SEP",2229,4865,1261,1996,2087,3733,1047,1402
"1997 OCT",2082,4556,1054,1628,2064,3902,1040,1418
"1997 NOV",1820,3459,874,1119,2170,4389,1050,1500
"1997 DEC",2059,2719,942,890,2329,4127,1044,1504
"1998 JAN",1631,2817,769,1118,2101,4083,1033,1492
"1998 FEB",1406,3035,673,1164,2098,4386,1068,1768
"1998 MAR",1767,3327,808,1364,2051,4012,998,1567
"1998 APR",2227,3818,955,1412,2174,4054,1057,1557
"1998 MAY",2431,4604,1075,1721,2294,4331,1098,1659
"1998 JUN",2176,4820,1170,1752,2022,4117,1026,1570
"1998 JUL",2785,5139,1424,1794,2091,4264,1021,1505
"1998 AUG",3002,6188,1516,2434,2162,4174,1034,1582
"1998 SEP",2241,5648,1272,2390,2113,4345,1072,1702
"1998 OCT",2255,4910,1048,1929,2252,4194,1035,1680
"1998 NOV",1773,3661,894,1352,2094,4650,1064,1797
"1998 DEC",2052,2906,1067,1060,2341,4443,1172,1774
"1999 JAN",1680,3183,814,1435,2143,4504,1071,1864
"1999 FEB",1511,3051,668,1196,2163,4382,1065,1795
"1999 MAR",1855,3645,931,1478,2103,4442,1126,1762
"1999 APR",2161,4243,848,1648,2154,4496,940,1769
"1999 MAY",2295,4605,1009,1812,2158,4592,1030,1853
"1999 JUN",2344,5726,1207,2118,2154,4645,1059,1813
"1999 JUL",2712,5391,1445,2211,2040,4446,1036,1843
"1999 AUG",3013,6526,1516,2826,2201,4399,1047,1818
"1999 SEP",2187,5822,1187,2534,2063,4568,996,1826
"1999 OCT",2061,5424,1064,2290,2069,4607,1056,1968
"1999 NOV",1836,3465,893,1367,2180,4399,1059,1845
"1999 DEC",1739,2801,917,1105,1999,4332,1018,1860
"2000 JAN",1621,3019,818,1463,2065,4231,1067,1909
"2000 FEB",1553,3341,637,1299,2170,4628,1034,1844
"2000 MAR",1819,3782,860,1576,2107,4704,1055,1864
"2000 APR",2187,4569,1057,1850,2155,4608,1146,1944
"2000 MAY",2304,4693,1095,1929,2179,4717,1121,2033
"2000 JUN",2242,5532,1145,2367,2037,4586,997,1995
"2000 JUL",2820,5931,1533,2508,2106,4844,1121,2071
"2000 AUG",2909,7030,1510,3073,2099,4787,1046,2026
"2000 SEP",2214,6275,1241,2922,2089,4851,1057,2112
"2000 OCT",2028,5706,1080,2377,2053,4928,1079,2051
"2000 NOV",1681,3746,885,1627,1997,4846,1049,2237
"2000 DEC",1829,3213,945,1259,2109,4846,1034,2054
"2001 JAN",1588,3533,822,1547,2005,5013,1067,2059
"2001 FEB",1454,3362,675,1436,2103,4746,1065,2086
"2001 MAR",1820,3947,909,1905,2123,4831,1112,2230
"2001 APR",2008,4995,861,2079,1984,4995,951,2164
"2001 MAY",2023,4590,845,1994,1916,4661,872,2099
"2001 JUN",2248,6077,1109,2501,2046,4991,967,2126
"2001 JUL",2546,5982,1335,2569,1889,4905,926,2098
"2001 AUG",2588,7472,1389,3467,1806,5077,921,2278
"2001 SEP",1964,6198,1095,2885,1868,4780,915,2068
"2001 OCT",1630,5272,776,2211,1661,4655,777,1994
"2001 NOV",1582,3918,752,1597,1838,5090,916,2178
"2001 DEC",1381,2935,737,1141,1600,4465,810,1871
"2002 JAN",1538,3357,696,1533,1930,4780,938,2003
"2002 FEB",1266,3518,578,1546,1823,4983,961,2202
"2002 MAR",1754,4135,751,1967,1952,4872,963,2253
"2002 APR",2220,4857,861,2171,2267,5007,961,2279
"2002 MAY",2009,4704,918,2021,1909,4805,942,2164
"2002 JUN",2280,6081,1106,2753,2086,4928,970,2292
"2002 JUL",2807,5866,1411,2626,2171,4895,1011,2243
"2002 AUG",2716,7509,1399,3532,1991,4954,917,2275
"2002 SEP",2096,6322,1192,3096,2010,4946,1014,2252
"2002 OCT",2053,5850,978,2639,2094,5196,980,2368
"2002 NOV",1769,3925,844,1653,2002,5041,1008,2296
"2002 DEC",1884,3374,1003,1425,2112,5122,1057,2280
"2003 JAN",1785,3572,762,1802,2145,4975,1006,2344
"2003 FEB",1440,3670,616,1674,2008,5152,996,2344
"2003 MAR",1701,4284,773,1970,1962,5273,1002,2285
"2003 APR",1836,4797,763,2092,1807,4810,866,2195
"2003 MAY",1827,5377,933,2280,1717,5291,951,2376
"2003 JUN",2422,6040,1049,2715,2280,5053,928,2330
"2003 JUL",2657,6240,1331,2971,2016,5249,934,2528
"2003 AUG",2829,7871,1496,3937,2119,5097,1001,2467
"2003 SEP",2230,6288,1214,3110,2143,4951,1032,2322
"2003 OCT",2162,5678,1025,2662,2203,5070,1028,2414
"2003 NOV",2007,4050,866,1728,2218,5192,1032,2362
"2003 DEC",1978,3467,1028,1609,2218,5318,1060,2641
"2004 JAN",1764,3838,784,1922,2118,5209,1038,2446
"2004 FEB",1758,3950,686,1863,2347,5306,1066,2427
"2004 MAR",1929,3982,759,1945,2224,4975,1000,2322
"2004 APR",2267,5263,983,2365,2252,5231,1089,2445
"2004 MAY",2345,5102,1057,2275,2214,5223,1069,2415
"2004 JUN",2403,6602,1192,2962,2250,5402,1088,2555
"2004 JUL",2905,6367,1466,2930,2268,5369,1064,2489
"2004 AUG",3132,8153,1672,4062,2436,5423,1168,2524
"2004 SEP",2375,6713,1252,3445,2275,5354,1057,2623
"2004 OCT",2250,6227,1157,2943,2280,5379,1159,2602
"2004 NOV",2143,4273,983,1879,2353,5580,1159,2632
"2004 DEC",2355,3704,1056,1694,2586,5601,1065,2719
"2005 JAN",2129,4293,927,2147,2503,5642,1198,2674
"2005 FEB",1851,3913,804,1999,2472,5397,1190,2738
"2005 MAR",2191,4615,912,2266,2432,5662,1171,2682
"2005 APR",2331,5445,996,2562,2376,5473,1093,2676
"2005 MAY",2769,5394,1222,2583,2601,5546,1228,2710
"2005 JUN",2768,6578,1344,2965,2644,5480,1260,2580
"2005 JUL",3116,6494,1525,3142,2461,5411,1108,2606
"2005 AUG",3206,8113,1689,4115,2499,5488,1178,2659
"2005 SEP",2536,7160,1260,3654,2427,5637,1056,2738
"2005 OCT",2449,6467,1156,2992,2457,5669,1149,2699
"2005 NOV",2389,4284,1032,2031,2612,5617,1220,2878
"2005 DEC",2235,3686,1380,1699,2495,5469,1376,2656
"2006 JAN",2261,4444,959,2313,2652,5767,1244,2831
"2006 FEB",1786,4092,772,1970,2441,5708,1174,2680
"2006 MAR",2304,4594,1026,2382,2616,5794,1292,2836
"2006 APR",2920,6059,1291,2830,2902,5888,1384,2905
