,ABMI,ABMM,L2KK,L3BA,L3ZY,IHYP,IHYQ,IHYR,KI8L,KI8M,KI8N,KI8O,KI8P,KI8Q,KIH8,KIH9,KII2,KLH7,KLH8,KLH9,L2KL,L2KQ,L2KR,L2KX,L2MW,L2N2,L2N8,L2NC,L2PZ,L3BB,L3BG,L3BH,L3BN,L3DM,L3DQ,L3DW,L3E2,L3GP,L3ZZ,L426,L427,L42D,L44C,L44G,L44M,L44Q,L47F,YBEZ
"1983 Q2",179346,159520,,,,,0.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3
"1983 Q3",181548,161528,,,,,1.2,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9
"1983 Q4",183812,163473,,,,,1.2,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5
"1984 Q1",185700,165333,,,,,1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
"1984 Q2",184520,164033,,,,,-0.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7
"1984 Q3",185463,164513,,,,,0.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9
"1984 Q4",188202,166546,,,,,1.5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7
"1985 Q1",190542,169498,,,,,1.2,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3
"1985 Q2",193572,172391,,,,,1.6,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1
"1985 Q3",193604,172157,,,,,0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1
"1985 Q4",194943,173325,,,,,0.7,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5
"1986 Q1",197824,175044,,,,,1.5,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3
"1986 Q2",200457,177975,,,,,1.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
"1986 Q3",201940,179915,,,,,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4
"1986 Q4",205689,182628,,,,,1.9,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4
"1987 Q1",206875,183288,,,,,0.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7
"1987 Q2",209421,186284,,,,,1.2,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4
"1987 Q3",214386,189966,,,,,2.4,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7
"1987 Q4",216772,192076,,,,,1.1,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4
"1988 Q1",220563,195205,,,,,1.7,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4
"1988 Q2",221915,196406,,,,,0.6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8
"1988 Q3",225222,199501,,,,,1.5,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6
"1988 Q4",226956,201329,,,,,0.8,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1
"1989 Q1",227867,202084,,,,,0.4,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4
"1989 Q2",229428,203072,,,,,0.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8
"1989 Q3",229931,203661,,,,,0.2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9
"1989 Q4",230645,204927,,,,,0.3,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1
"1990 Q1",233919,207995,62.7,,,,1.4,2.7,,42.3,,46.5,,63.3,,,,,,,96.8,100.3,127.9,101.5,65.7,74,94.4,53,64.5,,,,,,,,,,,,,,,,,,,63
"1990 Q2",235635,209276,63,,,,0.7,2.7,,42.3,,46.9,,63.6,,,,,,,98.2,101.8,132,102.1,70,76.1,93.8,53.3,64.9,,,,,,,,,,,,,,,,,,,63.4
"1990 Q3",233141,207624,62.5,,,,-1.1,1.4,,41.9,,46.9,,63.7,,,,,,,99.4,100.1,121.6,100.9,71.7,76.2,92.1,53.2,64,,,,,,,,,,,,,,,,,,,62.8
"1990 Q4",231894,206946,62.3,,,,-0.5,0.5,,41.7,,47,,64.4,,,,,,,99.7,99.2,122.8,99.4,72.6,75.8,91.2,53.1,62.8,,,,,,,,,,,,,,,,,,,62.4
"1991 Q1",231383,206358,62.2,,,,-0.2,-1.1,,40.6,,46.9,,65,,,,,,,102.4,98,127.4,97.6,72.3,74.1,86.8,52.9,62.2,,,,,,,,,,,,,,,,,,,62.3
"1991 Q2",230609,205984,62,,,,-0.3,-2.1,,40.9,,46.6,,65.8,,,,,,,103.5,96.8,123.3,96,75.5,74.2,86.6,53,61.7,,,,,,,,,,,,,,,,,,,62.1
"1991 Q3",229923,205960,62,,,,-0.3,-1.4,,41,,46.5,,66.5,,,,,,,102.6,96,132.6,95.1,69.8,72.8,85.8,53.2,62.1,,,,,,,,,,,,,,,,,,,61.9
"1991 Q4",230595,206511,62.2,,,,0.3,-0.6,,41.2,,46.2,,67,,,,,,,102.7,97,134.3,95.6,73.3,73.7,84.8,53.3,62.2,,,,,,,,,,,,,,,,,,,62.1
"1992 Q1",231898,207501,62.5,,,,0.6,0.2,,41.7,,46.1,,68,,,,,,,108,97,132.6,95.8,72.6,74,83.5,53.7,62.6,,,,,,,,,,,,,,,,,,,62.4
"1992 Q2",232154,208228,62.7,,,,0.1,0.7,,41.9,,46.3,,68.2,,,,,,,107.6,96.5,126.8,95.8,71.9,73.4,83.4,54.1,63.9,,,,,,,,,,,,,,,,,,,62.5
"1992 Q3",234152,210138,63.3,,,,0.9,1.8,,42.3,,46.7,,68.4,,,,,,,107.4,97.6,131.4,96.2,75.6,74.7,83.2,54.6,65.4,,,,,,,,,,,,,,,,,,,63
"1992 Q4",236250,211983,63.9,,,,0.9,2.5,,43.2,,47.1,,69,,,,,,,105,98.1,137.2,96,76.7,75.8,82.1,55.3,66.8,,,,,,,,,,,,,,,,,,,63.6
"1993 Q1",238726,214098,64.5,,,,1,2.9,,43.4,,47.7,,69.9,,,,,,,100.6,98.3,132.6,97.4,72.9,75.7,82.7,56.1,68.5,,,,,,,,,,,,,,,,,,,64.3
"1993 Q2",240363,215848,65,,,,0.7,3.5,,43.9,,48.3,,70.4,,,,,,,97.8,98.6,132.6,97.2,75.7,76.8,81.8,56.8,69.9,,,,,,,,,,,,,,,,,,,64.7
"1993 Q3",242825,218281,65.8,,,,1,3.7,,44.6,,49,,70.8,,,,,,,98.7,99.7,142.3,97.1,78.6,78.7,81.8,57.5,70.9,,,,,,,,,,,,,,,,,,,65.4
"1993 Q4",245157,220303,66.4,,,,1,3.8,,45.1,,49.7,,71.2,,,,,,,98.3,101,149.3,97.6,81.4,80,82,58,71.1,,,,,,,,,,,,,,,,,,,66
"1994 Q1",248574,223064,67.2,,,,1.4,4.1,,45.7,,50.1,,72,,,,,,,95.8,102.5,159.1,99.6,75.4,79.9,81.4,58.8,73.5,,,,,,,,,,,,,,,,,,,66.9
"1994 Q2",252248,226281,68.2,,,,1.5,4.9,,47.1,,50.8,,72.4,,,,,,,96.5,104.6,164.8,101.5,77.2,81.3,82,59.6,74,,,,,,,,,,,,,,,,,,,67.9
"1994 Q3",255968,229215,69,,,,1.5,5.4,,47.9,,52.1,,72.8,,,,,,,99.1,105.4,163.1,102.8,76.6,81.4,82.3,60.5,75.1,,,,,,,,,,,,,,,,,,,68.9
"1994 Q4",258184,231565,69.8,,,,0.9,5.3,,48.8,,52.6,,73.3,,,,,,,100.9,106.7,163.7,104.3,76.6,82.1,82.5,61.1,75.5,,,,,,,,,,,,,,,,,,,69.5
"1995 Q1",259318,232409,70,,,,0.4,4.3,,49.2,,53.5,,73.7,,,,,,,95.7,105.6,169.4,102.6,76.2,81.8,81.8,61.8,76.3,,,,,,,,,,,,,,,,,,,69.8
"1995 Q2",261086,233690,70.4,,,,0.7,3.5,,50.1,,53.3,,74.3,,,,,,,95,106.5,165.4,103.6,78.4,83.5,82.8,62,76.2,,,,,,,,,,,,,,,,,,,70.3
"1995 Q3",264444,236396,71.2,,,,1.3,3.3,,51.3,,54.1,,74.8,,,,,,,96.9,106.9,165.4,104,78.6,83.9,83.3,62.9,77.8,,,,,,,,,,,,,,,,,,,71.2
"1995 Q4",265989,237454,71.5,,,,0.6,3,,51.5,,54.8,,74.7,,,,,,,98.2,107.4,167.7,104.3,79.8,83.9,84.2,63.2,77.4,,,,,,,,,,,,,,,,,,,71.6
"1996 Q1",269017,240214,72.4,,,,1.1,3.7,,52.3,,56,,75.3,,,,,,,95.9,108.1,170,104.6,81.9,84.9,84.6,64.1,78.5,,,,,,,,,,,,,,,,,,,72.4
"1996 Q2",270395,241896,72.9,,,,0.5,3.6,,53,,57,,75.7,,,,,,,90.5,107.4,167.1,104,82.4,85,85.4,65,79.8,,,,,,,,,,,,,,,,,,,72.8
"1996 Q3",272642,243889,73.5,,,,0.8,3.1,,53.6,,57.8,,75.9,,,,,,,93.9,107.9,166.6,104.6,81.8,85.3,86.8,65.5,80,,,,,,,,,,,,,,,,,,,73.4
"1996 Q4",275471,246277,74.2,,,,1,3.6,,54.8,,58.6,,76.4,,,,,,,96,109,167.1,105.9,82.4,85.2,86.9,66.2,80,,,,,,,,,,,,,,,,,,,74.2
"1997 Q1",279315,249950,75.3,,,,1.4,3.8,,57,,60.7,,76.9,,,,73,1.6,,95.3,109.5,168.3,106.8,79.9,85.7,86.6,67.6,80.2,,,,,,,,,,,,,,,,,,,75.2
"1997 Q2",282613,252422,76,1,,,1.2,4.5,1.9,58.1,1,61.3,0.2,77,,,,74,1.3,,99.2,109.1,161.1,106.4,82.9,85.4,89,68.4,82.4,4.1,-0.4,-4.3,-0.3,3.8,-0.4,2.7,1.3,2.8,,,,,,,,,,76.1
"1997 Q3",284906,254626,76.7,0.9,,,0.8,4.5,-0.3,57.9,2.4,62.7,0.1,77.1,,,,74.5,0.8,,97.6,109.8,163.4,106.8,83.5,88.1,88.3,69.2,83.9,-1.6,0.6,1.5,0.4,0.8,3.2,-0.8,1.2,1.8,,,,,,,,,,76.7
"1997 Q4",288003,257450,77.6,1.1,,,1.1,4.5,5.5,61.1,0.6,63.1,0.6,77.6,,,,75.4,1.1,,98,110.1,163.4,107.4,83.2,87,89.5,70.1,84.5,0.4,0.3,0,0.5,-0.4,-1.2,1.5,1.4,0.7,,,,,,,,,,77.5
"1998 Q1",290348,259817,78.3,0.9,4,,0.8,4,-0.4,60.8,2.6,64.7,0.8,78.2,1.7,6.7,6.8,76.1,0.9,4.2,99.1,111.3,165.8,108.2,82.9,93.8,90.7,70.7,83.5,1.1,1,1.5,0.8,-0.4,7.8,1.3,0.8,-1.2,4,1.6,-1.5,1.3,3.8,9.4,4.7,4.7,4.2,78.2
"1998 Q2",292562,262500,79.1,1,4,,0.8,3.5,3.1,62.7,2.5,66.3,0.3,78.4,1.8,8.2,8,76.8,1,3.9,99.1,111.3,169,107.8,84.5,93.1,89,71.9,84.1,0,0,1.9,-0.4,1.9,-0.8,-1.9,1.6,0.7,-0.1,2,4.9,1.3,1.9,9,0,5.1,2.1,78.8
"1998 Q3",294735,263908,79.5,0.5,3.6,,0.7,3.4,1.6,63.7,0.3,66.5,0.8,79,2.5,6,10.1,77.3,0.6,3.7,98.9,110.6,167.5,107.1,86.1,91,89.3,72.6,85.6,-0.1,-0.6,-0.9,-0.7,2,-2.2,0.4,0.9,1.7,1.4,0.8,2.5,0.2,3.1,3.3,1.2,4.9,2,79.4
"1998 Q4",297672,266858,80.4,1.1,3.7,,1,3.4,4,66.3,1,67.2,0.7,79.6,2.6,6.5,8.5,78.1,1,3.6,99.1,110.4,171.8,106.3,87,92.2,89.4,73.8,87.3,0.2,-0.2,2.6,-0.7,1,1.3,0.2,1.6,2,1.2,0.3,5.2,-1,4.5,5.9,-0.1,5.1,3.3,80.1
"1999 Q1",298606,267667,80.6,0.3,3,,0.3,2.8,1.2,67.1,0.4,67.4,0.2,79.7,2,4.2,10.3,78.2,0.2,2.8,103.1,110.7,175.9,106.4,87.2,90.6,89.5,74,86.8,4,0.2,2.4,0.1,0.3,-1.7,0.1,0.3,-0.5,4,-0.6,6.1,-1.6,5.2,-3.4,-1.3,4.5,4,80.4
"1999 Q2",298657,268399,80.8,0.3,2.2,,0,2.1,1.9,68.4,0.3,67.6,0.2,79.9,1.9,2,9,78.5,0.3,2.1,102.8,110.9,173.4,106.7,88.2,92.4,90.1,74.1,85.7,-0.2,0.3,-1.4,0.3,1.2,2,0.7,0.2,-1.3,3.8,-0.3,2.6,-1,4.5,-0.7,1.3,3.1,1.9,80.4
"1999 Q3",304272,272910,82.2,1.7,3.4,,1.9,3.2,6,72.4,1.3,68.6,0.7,80.4,1.8,3.1,13.7,79.8,1.6,3.2,102.8,113.3,177.6,109.1,89.7,93.9,92.1,75.2,85,0,2.2,2.4,2.2,1.6,1.6,2.3,1.5,-0.8,4,2.5,6,1.9,4.1,3.2,3.2,3.7,-0.7,81.9
"1999 Q4",308317,276263,83.2,1.2,3.5,,1.3,3.6,1.6,73.6,3.3,70.8,0.4,80.7,1.5,5.4,11,80.8,1.3,3.5,102.5,113.8,177.3,109.4,90.8,95.9,91.3,76.5,85.6,-0.3,0.5,-0.2,0.3,1.2,2.2,-0.9,1.7,0.7,3.4,3.1,3.2,2.9,4.4,4.1,2.1,3.7,-2,83
"2000 Q1",312542,279883,84.3,1.3,4.5,,1.4,4.7,4.4,76.8,0.6,71.2,2.2,82.5,3.5,5.7,14.5,81.9,1.3,4.6,102,114.1,178.5,109.9,90.2,93.4,92.6,77.7,85.8,-0.5,0.2,0.7,0.4,-0.6,-2.6,1.4,1.6,0.2,-1.1,3.1,1.5,3.3,3.4,3.1,3.4,5.1,-1.2,84.2
"2000 Q2",315650,284024,85.5,1.5,5.8,,1,5.7,5.2,80.9,2.5,73,0.9,83.3,4.2,8,18.3,83.3,1.8,6.2,101.4,114.4,172.9,110.2,94.2,93.6,91.9,79.3,85.8,-0.6,0.2,-3.1,0.2,4.4,0.2,-0.7,2,0,-1.4,3.1,-0.3,3.2,6.7,1.3,2,7,0.1,85
"2000 Q3",316749,284758,85.7,0.3,4.3,,0.3,4.1,1.9,82.4,1.1,73.8,0.1,83.4,3.6,7.7,13.8,83.7,0.4,4.9,101.9,114,168.3,109.9,94,95.9,90.3,79.8,85.1,0.5,-0.3,-2.7,-0.2,-0.2,2.5,-1.7,0.6,-0.7,-0.9,0.5,-5.2,0.8,4.8,2.2,-2,6,0.2,85.3
"2000 Q4",317688,285286,85.9,0.2,3.2,,0.3,3,0.3,82.7,0.5,74.2,-0.2,83.2,3,4.8,12.3,84,0.4,3.9,99.5,114.3,162.1,111,93.5,95.8,91.2,79.9,84.9,-2.4,0.3,-3.7,1,-0.6,-0.2,1,0.1,-0.3,-2.9,0.4,-8.6,1.4,3,-0.2,0,4.4,-0.8,85.5
"2001 Q1",320100,287616,86.7,0.9,2.8,,0.8,2.4,1.1,83.6,2.2,75.9,0.4,83.5,1.2,6.5,8.8,84.7,0.9,3.5,92.8,113.7,159.5,110.2,97.8,95.2,90.9,81.1,86.8,-6.8,-0.5,-1.6,-0.7,4.6,-0.6,-0.4,1.5,2.2,-9.1,-0.4,-10.7,0.3,8.4,1.9,-1.8,4.3,1.2,86.2
"2001 Q2",322235,288325,86.9,0.2,1.6,,0.7,2.1,0.9,84.3,0.3,76.1,0.5,83.9,0.8,4.2,4.3,84.9,0.2,1.9,91.4,112.4,162.2,108.4,97,96.4,93.5,81.4,87,-1.4,-1.1,1.7,-1.7,-0.9,1.3,2.8,0.5,0.2,-9.8,-1.7,-6.2,-1.6,2.9,2.9,1.6,2.7,1.5,86.8
"2001 Q3",323720,289314,87.2,0.3,1.7,,0.5,2.2,-0.9,83.6,0.4,76.4,0.1,84,0.8,3.5,1.4,85.3,0.4,1.9,93.7,112.4,164.1,108.4,95.9,95,93.7,81.8,88.8,2.5,-0.1,1.1,0,-1.1,-1.4,0.2,0.4,2.1,-8.1,-1.4,-2.5,-1.4,2,-0.9,3.7,2.5,4.4,87.2
"2001 Q4",324161,289361,87.2,0,1.5,,0.1,2,0.1,83.7,-1.1,75.5,0.7,84.6,1.7,1.7,1.3,85.3,0,1.5,94.7,110.9,163.4,106.6,94.2,96.7,94.7,82,90.8,1.1,-1.3,-0.4,-1.6,-1.7,1.7,1.1,0.3,2.2,-4.8,-2.9,0.8,-3.9,0.8,1,3.8,2.7,6.9,87.3
"2002 Q1",325891,291106,87.6,0.5,1.1,,0.5,1.8,1.2,84.8,-0.3,75.3,0.9,85.4,2.3,-0.8,1.4,85.8,0.7,1.3,103.7,111.2,163.7,106.7,94.1,100.1,95.7,82.3,91.1,9.5,0.3,0.2,0.1,-0.1,3.5,1.1,0.4,0.3,11.8,-2.2,2.7,-3.2,-3.8,5.2,5.3,1.6,4.9,87.7
"2002 Q2",328303,292803,88.1,0.6,1.4,,0.7,1.9,-0.8,84.1,1.4,76.3,1.2,86.4,2.9,0.3,-0.3,86.2,0.4,1.5,106.6,110.7,168.3,105.4,95.3,99.9,96.8,83,91.6,2.8,-0.5,2.8,-1.3,1.3,-0.2,1.1,0.8,0.5,16.6,-1.5,3.7,-2.8,-1.7,3.7,3.5,1.9,5.2,88.4
"2002 Q3",331081,295304,88.9,0.9,2,,0.8,2.3,-0.3,83.8,0.9,77,1,87.2,3.8,0.8,0.3,87.3,1.3,2.4,104.8,110.7,155.4,106.4,98.4,101.1,100.3,83.7,93.1,-1.7,0,-7.7,1,3.2,1.2,3.6,0.9,1.6,11.8,-1.5,-5.3,-1.8,2.7,6.4,7,2.4,4.7,89.1
"2002 Q4",334554,298147,89.8,1,2.9,,1,3.2,1.9,85.4,1.5,78.2,0.6,87.8,3.7,3.5,2,87.9,0.7,3.1,103.8,110.5,164.1,104.8,100.2,102,101.4,84.8,94.2,-0.9,-0.2,5.7,-1.5,1.9,0.9,1.1,1.3,1.2,9.6,-0.4,0.5,-1.7,6.4,5.5,7.1,3.4,3.7,90.1
"2003 Q1",336308,300438,90.4,0.8,3.2,,0.5,3.2,3.2,88.1,2.2,79.9,1.1,88.7,3.9,6.1,4,88.7,0.9,3.3,100.5,109.7,162.4,104.4,93.8,105.7,99.1,86,93.3,-3.2,-0.7,-1.1,-0.4,-6.4,3.7,-2.3,1.4,-0.9,-3,-1.4,-0.8,-2.2,-0.3,5.6,3.6,4.4,2.4,90.6
"2003 Q2",340795,304265,91.6,1.3,3.9,,1.3,3.8,1.7,89.6,1.2,80.9,1.4,90,4.2,6,6.5,90.1,1.6,4.5,101.3,109.5,153.7,104.8,97.7,104.7,102.1,87.2,95.1,0.7,-0.2,-5.3,0.4,4.1,-1,3,1.5,1.9,-5,-1.1,-8.6,-0.5,2.4,4.8,5.5,5.1,3.8,91.8
"2003 Q3",345165,308254,92.8,1.3,4.4,,1.3,4.3,-0.3,89.3,2.1,82.6,1.3,91.1,4.5,7.2,6.6,91.4,1.4,4.7,101.1,110.4,152.6,105.6,101.2,106.3,104.9,88.4,96.4,-0.2,0.8,-0.7,0.7,3.6,1.5,2.7,1.3,1.4,-3.5,-0.3,-1.7,-0.8,2.8,5.1,4.6,5.6,3.6,92.9
"2003 Q4",349680,312321,94,1.3,4.7,,1.3,4.5,2.1,91.2,2.5,84.6,0.2,91.2,3.9,8.3,6.8,92.7,1.4,5.4,101,110.9,149.8,106.4,102.5,105.5,107.5,89.7,97.2,0,0.5,-1.9,0.8,1.3,-0.7,2.5,1.4,0.8,-2.7,0.4,-8.8,1.5,2.3,3.4,6,5.8,3.2,94.2
"2004 Q1",351975,313938,94.5,0.5,4.5,,0.7,4.7,0.1,91.3,-0.4,84.3,0.6,91.8,3.5,5.5,3.6,93.2,0.6,5.1,101,111.2,145,107.4,101.8,105.5,110.5,90,98.7,0,0.2,-3.2,0.9,-0.7,0,2.9,0.4,1.5,0.4,1.3,-10.7,2.8,8.5,-0.3,11.5,4.7,5.7,94.8
"2004 Q2",353516,315245,94.9,0.4,3.6,,0.4,3.7,0.8,92,0.3,84.6,0.8,92.5,2.9,4.6,2.7,93.6,0.4,3.9,100,111.8,146.4,107.9,100.8,109.3,109.1,90.5,99.1,-1,0.6,0.9,0.5,-1,3.6,-1.3,0.5,0.4,-1.3,2.1,-4.8,2.9,3.2,4.4,6.9,3.7,4.2,95.2
"2004 Q3",353808,315450,94.9,0.1,2.3,,0.1,2.5,1.9,93.7,1,85.4,-0.4,92.2,1.2,3.5,5,93.9,0.3,2.8,100.5,109.8,140.5,106.3,99.9,106.2,108.3,91,99.1,0.5,-1.8,-4,-1.4,-0.8,-2.8,-0.7,0.6,0,-0.6,-0.5,-8,0.7,-1.2,-0.1,3.3,2.9,2.7,95.3
"2004 Q4",356183,317733,95.6,0.7,1.7,,0.7,1.9,1,94.7,1.7,86.9,0.5,92.6,1.5,2.7,3.9,94.7,0.8,2.1,98.9,110.6,138.2,107.7,98.6,106.5,107.2,91.8,99,-1.6,0.7,-1.7,1.3,-1.3,0.3,-1,0.9,-0.1,-2.1,-0.2,-7.8,1.2,-3.8,1,-0.2,2.4,1.9,95.9
"2005 Q1",358872,320768,96.7,1.1,2.3,,0.8,2,1.4,96.1,1.9,88.6,2,94.5,2.9,5.1,5.2,95.7,1.1,2.6,105.4,109.9,135.3,106.7,99.7,110.5,107.5,93.1,98.8,6.6,-0.6,-2.1,-0.9,1.1,3.7,0.3,1.5,-0.2,4.4,-1.1,-6.7,-0.6,-2,4.8,-2.7,3.5,0.1,96.6
"2005 Q2",363550,325403,98.1,1.4,3.3,,1.3,2.8,0.6,96.7,2.3,90.6,2.3,96.7,4.5,7.2,5.1,97.1,1.5,3.7,106.8,110.9,136.3,107.6,101,111.8,107.1,94.8,99.4,1.3,0.9,0.8,0.8,1.3,1.2,-0.4,1.7,0.7,6.8,-0.9,-6.9,-0.2,0.2,2.3,-1.8,4.7,0.3,97.9
"2005 Q3",367037,328408,99,0.9,4.2,,1,3.7,2.5,99.1,2.5,92.9,1.2,97.9,6.2,8.7,5.7,98.2,1.2,4.6,106.4,109.4,127.1,107,99.1,112.3,105.2,96.3,99.4,-0.3,-1.3,-6.7,-0.6,-1.8,0.4,-1.8,1.7,0,5.9,-0.4,-9.5,0.6,-0.8,5.7,-2.9,5.9,0.3,98.8
"2005 Q4",371811,332899,100.3,1.4,4.9,,1.3,4.4,1.5,100.6,2.5,95.2,1.1,99,6.9,9.6,6.2,99.6,1.4,5.3,105.2,109.9,129.7,107.1,100.4,113.2,104.8,98,100.7,-1.1,0.4,2,0.1,1.3,0.8,-0.4,1.7,1.3,6.4,-0.7,-6.1,-0.6,1.8,6.2,-2.2,6.8,1.8,100.1
"2006 Q1",373227,334251,100.7,0.4,4.2,,0.4,4,-1.3,99.2,1,96.2,-0.8,98.2,3.9,8.6,3.3,100,0.4,4.5,103.1,110.7,132.6,107.8,103.9,108.7,105.5,98.3,102.6,-2,0.8,2.3,0.7,3.5,-4,0.7,0.3,1.8,-2.2,0.7,-2,1,4.2,-1.6,-1.9,5.5,3.9,100.5
"2006 Q2",374520,334776,100.8,0.2,2.8,,0.3,3,0.8,100,0.4,96.6,-0.4,97.8,1.2,6.5,3.4,100.3,0.4,3.4,101.8,110.1,123.3,108.8,99.9,109.4,106.4,98.6,103.3,-1.2,-0.6,-7.1,0.9,-3.9,0.7,0.8,0.3,0.7,-4.6,-0.7,-9.6,1.1,-1.1,-2.2,-0.7,4,3.9,100.8
"2006 Q3",375451,335756,101.1,0.3,2.2,,0.2,2.3,-0.4,99.6,0.8,97.3,0.3,98.1,0.2,4.8,0.4,100.7,0.3,2.5,103.4,110,122.5,109.3,98.3,107.8,107,98.9,103.4,1.6,0,-0.6,0.4,-1.6,-1.5,0.5,0.3,0.1,-2.8,0.6,-3.7,2.1,-0.9,-4,1.7,2.7,4,101.1
"2006 Q4",378330,338183,101.9,0.7,1.6,,0.8,1.8,0.8,100.4,1.2,98.5,0.1,98.1,-0.9,3.4,-0.2,101.5,0.8,1.9,101.5,110.3,118.8,110.2,97.5,109.8,108.9,99.7,104.3,-1.8,0.2,-3,0.8,-0.8,1.9,1.8,0.8,0.9,-3.5,0.4,-8.4,2.9,-2.9,-3,3.9,1.7,3.6,101.9
"2007 Q1",382040,341772,103,1.1,2.3,,1,2.4,2,102.4,1.9,100.3,-0.6,97.6,-0.6,4.3,3.1,102.5,1,2.5,97.6,110.6,121,109.7,98.5,114.3,109.9,100.9,106.7,-3.9,0.2,1.8,-0.5,1.1,4.1,1,1.3,2.3,-5.3,-0.1,-8.8,1.7,-5.2,5.2,4.2,2.7,4,102.9
"2007 Q2",386977,346376,104.3,1.3,3.5,,1.3,3.3,3,105.4,2.6,102.9,0.5,98,0.2,6.6,5.4,103.9,1.4,3.6,98,110.8,122.3,109.9,99.1,112.9,109.5,102.7,107.8,0.4,0.2,1.1,0.2,0.6,-1.3,-0.4,1.8,1,-3.8,0.7,-0.8,1,-0.8,3.2,2.9,4.2,4.4,104.2
"2007 Q3",391767,350661,105.6,1.2,4.4,,1.2,4.3,1.3,106.7,2.7,105.7,1,99,0.9,8.6,7.2,105.3,1.3,4.6,98.6,110.6,120.7,109.9,101.1,110.7,108,104.5,109.4,0.7,-0.2,-1.4,0,2,-1.9,-1.4,1.8,1.5,-4.6,0.5,-1.5,0.5,2.9,2.7,1,5.7,5.8,105.5
"2007 Q4",392205,351098,105.8,0.1,3.8,,0.1,3.7,-0.8,105.8,0.2,105.9,0.3,99.3,1.2,7.6,5.5,105.4,0.1,3.9,100.1,111,119.5,110.1,103.9,112.7,109.4,104.5,108.8,1.5,0.4,-1,0.2,2.8,1.7,1.3,0,-0.6,-1.4,0.6,0.6,-0.1,6.6,2.6,0.5,4.9,4.3,105.6
"2008 Q1",392786,351645,105.9,0.2,2.9,,0.1,2.8,-0.1,105.7,0.3,106.3,0.4,99.7,2.2,5.9,3.3,105.7,0.2,3.1,110.3,110.4,115.7,110.3,102,112.1,110.4,104.6,108.4,10.2,-0.6,-3.2,0.1,-1.9,-0.5,0.9,0.1,-0.3,13,-0.2,-4.4,0.5,3.5,-2,0.4,3.7,1.6,105.8
"2008 Q2",389239,349504,105.3,-0.6,0.9,,-0.9,0.6,0.5,106.2,-0.8,105.4,-0.3,99.4,1.4,2.4,0.8,105,-0.6,1,110.5,109.3,115.6,108.7,103.2,111,108.9,104.2,107.7,0.1,-1,0,-1.5,1.2,-0.9,-1.4,-0.5,-0.7,12.8,-1.4,-5.5,-1.1,4.2,-1.6,-0.5,1.4,-0.1,104.8
"2008 Q3",383626,344354,103.7,-1.5,-1.8,,-1.4,-2.1,-2.1,104,-1.2,104,0.2,99.6,0.6,-1.5,-2.5,103.5,-1.5,-1.7,107.8,107.6,113.7,106.9,100.2,112.2,106,102.8,104.1,-2.4,-1.5,-1.7,-1.6,-2.9,1.1,-2.7,-1.3,-3.3,9.3,-2.7,-5.8,-2.7,-0.8,1.4,-1.8,-1.7,-4.8,103.3
